block_id,condition,sequence_id,trial_index,task,hand,soa_level,congruency,target_dir
cp_prp,B,1,0,or,right,100,congruent,right
cp_prp,B,1,1,or,right,300,incongruent,left
cp_prp,B,1,2,or,right,300,incongruent,right
cp_prp,B,1,3,or,right,600,incongruent,left
cp_prp,B,1,4,or,right,100,congruent,right
cp_prp,B,1,5,or,right,300,congruent,right
cp_prp,B,1,6,or,right,100,incongruent,right
cp_prp,B,1,7,or,right,600,congruent,left
cp_prp,B,1,8,or,right,100,incongruent,left
cp_prp,B,1,9,or,right,100,congruent,right
cp_prp,B,1,10,or,right,100,congruent,left
cp_prp,B,1,11,or,right,300,congruent,right
cp_prp,B,1,12,or,right,300,incongruent,left
cp_prp,B,1,13,or,right,100,incongruent,left
cp_prp,B,1,14,or,right,100,congruent,left
cp_prp,B,1,15,or,right,300,incongruent,right
cp_prp,B,1,16,or,right,300,incongruent,right
cp_prp,B,1,17,or,right,600,incongruent,left
cp_prp,B,1,18,or,right,300,congruent,left
cp_prp,B,1,19,or,right,100,incongruent,left
cp_prp,B,1,20,or,right,300,congruent,left
cp_prp,B,1,21,or,right,600,congruent,left
cp_prp,B,1,22,or,right,600,incongruent,right
cp_prp,B,1,23,or,right,100,congruent,right
cp_prp,B,1,24,or,right,100,incongruent,left
cp_prp,B,1,25,or,right,600,congruent,right
cp_prp,B,1,26,or,right,600,incongruent,left
cp_prp,B,1,27,or,right,100,congruent,left
cp_prp,B,1,28,or,right,300,incongruent,left
cp_prp,B,1,29,or,right,300,congruent,left
cp_prp,B,1,30,or,right,300,incongruent,right
cp_prp,B,1,31,or,right,600,congruent,right
cp_prp,B,1,32,or,right,100,incongruent,right
cp_prp,B,1,33,or,right,300,incongruent,left
cp_prp,B,1,34,or,right,300,incongruent,right
cp_prp,B,1,35,or,right,100,congruent,left
cp_prp,B,1,36,or,right,600,congruent,left
cp_prp,B,1,37,or,right,300,congruent,right
cp_prp,B,1,38,or,right,300,congruent,left
cp_prp,B,1,39,or,right,300,congruent,right
cp_prp,B,1,40,or,right,100,incongruent,left
cp_prp,B,1,41,or,right,600,congruent,right
cp_prp,B,1,42,or,right,100,incongruent,right
cp_prp,B,1,43,or,right,600,incongruent,left
cp_prp,B,1,44,or,right,300,incongruent,left
cp_prp,B,1,45,or,right,600,incongruent,left
cp_prp,B,1,46,or,right,600,incongruent,right
cp_prp,B,1,47,or,right,100,congruent,left
cp_prp,B,1,48,or,right,100,congruent,right
cp_prp,B,1,49,or,right,600,congruent,right
cp_prp,B,1,50,or,right,300,congruent,left
cp_prp,B,1,51,or,right,300,incongruent,right
cp_prp,B,1,52,or,right,600,incongruent,right
cp_prp,B,1,53,or,right,600,congruent,left
cp_prp,B,1,54,or,right,600,incongruent,right
cp_prp,B,1,55,or,right,100,congruent,right
cp_prp,B,1,56,or,right,300,congruent,right
cp_prp,B,1,57,or,right,100,incongruent,left
cp_prp,B,1,58,or,right,100,incongruent,right
cp_prp,B,1,59,or,right,600,incongruent,right
cp_prp,B,1,60,or,right,300,incongruent,left
cp_prp,B,1,61,or,right,300,incongruent,right
cp_prp,B,1,62,or,right,600,incongruent,right
cp_prp,B,1,63,or,right,100,congruent,right
cp_prp,B,1,64,or,right,600,congruent,left
cp_prp,B,1,65,or,right,600,congruent,right
cp_prp,B,1,66,or,right,600,congruent,left
cp_prp,B,1,67,or,right,100,congruent,left
cp_prp,B,1,68,or,right,600,congruent,left
cp_prp,B,1,69,or,right,300,congruent,right
cp_prp,B,1,70,or,right,100,incongruent,right
cp_prp,B,1,71,or,right,100,incongruent,right
cp_prp,B,1,72,or,right,100,incongruent,left
cp_prp,B,1,73,or,right,600,congruent,right
cp_prp,B,1,74,or,right,100,incongruent,right
cp_prp,B,1,75,or,right,600,incongruent,left
cp_prp,B,1,76,or,right,100,incongruent,left
cp_prp,B,1,77,or,right,600,incongruent,left
cp_prp,B,1,78,or,right,600,incongruent,right
cp_prp,B,1,79,or,right,300,incongruent,left
cp_prp,B,1,80,or,right,600,congruent,right
cp_prp,B,1,81,or,right,600,incongruent,left
cp_prp,B,1,82,or,right,100,congruent,left
cp_prp,B,1,83,or,right,600,congruent,left
cp_prp,B,1,84,or,right,300,congruent,left
cp_prp,B,1,85,or,right,100,incongruent,right
cp_prp,B,1,86,or,right,300,congruent,left
cp_prp,B,1,87,or,right,100,congruent,right
cp_prp,B,1,88,or,right,300,incongruent,left
cp_prp,B,1,89,or,right,600,congruent,right
cp_prp,B,1,90,or,right,300,congruent,right
cp_prp,B,1,91,or,right,300,congruent,left
cp_prp,B,1,92,or,right,300,congruent,right
cp_prp,B,1,93,or,right,300,incongruent,right
cp_prp,B,1,94,or,right,600,incongruent,right
cp_prp,B,1,95,or,right,100,congruent,left
