block_id,condition,trial_index,task,soa_level,congruency,target_dir
cp_prp,B,0,mov,300,congruent,left
cp_prp,B,1,or,100,congruent,left
cp_prp,B,2,mov,300,incongruent,right
cp_prp,B,3,or,600,congruent,left
cp_prp,B,4,or,300,incongruent,right
cp_prp,B,5,mov,600,incongruent,left
cp_prp,B,6,or,100,incongruent,right
cp_prp,B,7,or,600,congruent,right
cp_prp,B,8,mov,300,congruent,left
cp_prp,B,9,mov,300,incongruent,left
cp_prp,B,10,or,600,incongruent,right
cp_prp,B,11,mov,600,incongruent,right
cp_prp,B,12,or,100,incongruent,right
cp_prp,B,13,or,600,incongruent,right
cp_prp,B,14,mov,300,incongruent,right
cp_prp,B,15,mov,100,incongruent,left
cp_prp,B,16,mov,600,incongruent,right
cp_prp,B,17,or,300,incongruent,right
cp_prp,B,18,mov,300,incongruent,right
cp_prp,B,19,or,300,congruent,right
cp_prp,B,20,mov,600,incongruent,right
cp_prp,B,21,or,100,congruent,right
cp_prp,B,22,or,600,incongruent,left
cp_prp,B,23,or,600,congruent,right
cp_prp,B,24,mov,300,incongruent,left
cp_prp,B,25,mov,600,incongruent,left
cp_prp,B,26,mov,600,congruent,left
cp_prp,B,27,or,300,incongruent,right
cp_prp,B,28,or,300,congruent,left
cp_prp,B,29,or,300,incongruent,left
cp_prp,B,30,mov,600,congruent,left
cp_prp,B,31,mov,300,incongruent,left
cp_prp,B,32,mov,300,congruent,left
cp_prp,B,33,or,600,incongruent,right
cp_prp,B,34,mov,300,congruent,right
cp_prp,B,35,mov,600,congruent,right
cp_prp,B,36,or,100,congruent,left
cp_prp,B,37,mov,600,incongruent,left
cp_prp,B,38,or,300,congruent,left
cp_prp,B,39,or,600,congruent,left
cp_prp,B,40,or,100,congruent,left
cp_prp,B,41,mov,100,incongruent,left
cp_prp,B,42,or,300,incongruent,left
cp_prp,B,43,mov,300,congruent,right
cp_prp,B,44,mov,100,congruent,right
cp_prp,B,45,or,600,incongruent,right
cp_prp,B,46,mov,300,incongruent,right
cp_prp,B,47,or,100,congruent,right
cp_prp,B,48,mov,100,incongruent,left
cp_prp,B,49,mov,100,congruent,left
cp_prp,B,50,or,300,incongruent,right
cp_prp,B,51,mov,100,incongruent,right
cp_prp,B,52,or,600,incongruent,left
cp_prp,B,53,or,300,congruent,right
cp_prp,B,54,or,300,congruent,left
cp_prp,B,55,mov,600,congruent,right
cp_prp,B,56,or,300,incongruent,left
cp_prp,B,57,mov,100,congruent,left
cp_prp,B,58,mov,600,congruent,left
cp_prp,B,59,or,100,incongruent,left
cp_prp,B,60,mov,100,incongruent,right
cp_prp,B,61,mov,600,congruent,right
cp_prp,B,62,mov,600,congruent,left
cp_prp,B,63,or,600,incongruent,left
cp_prp,B,64,mov,300,congruent,left
cp_prp,B,65,mov,600,incongruent,left
cp_prp,B,66,or,100,congruent,left
cp_prp,B,67,or,600,congruent,left
cp_prp,B,68,mov,600,incongruent,right
cp_prp,B,69,or,300,congruent,right
cp_prp,B,70,mov,100,congruent,right
cp_prp,B,71,or,600,congruent,right
cp_prp,B,72,or,600,incongruent,left
cp_prp,B,73,or,300,congruent,left
cp_prp,B,74,mov,100,incongruent,left
cp_prp,B,75,or,100,incongruent,left
cp_prp,B,76,mov,100,incongruent,right
cp_prp,B,77,mov,100,congruent,left
cp_prp,B,78,or,100,incongruent,left
cp_prp,B,79,mov,300,congruent,right
cp_prp,B,80,or,100,congruent,right
cp_prp,B,81,mov,300,incongruent,left
cp_prp,B,82,mov,100,incongruent,right
cp_prp,B,83,or,300,congruent,right
cp_prp,B,84,mov,100,congruent,right
cp_prp,B,85,or,100,congruent,right
cp_prp,B,86,mov,600,congruent,right
cp_prp,B,87,or,600,congruent,right
cp_prp,B,88,or,100,incongruent,right
cp_prp,B,89,mov,100,congruent,left
cp_prp,B,90,or,100,incongruent,right
cp_prp,B,91,mov,300,congruent,right
cp_prp,B,92,or,600,congruent,left
cp_prp,B,93,or,300,incongruent,left
cp_prp,B,94,or,100,incongruent,left
cp_prp,B,95,mov,100,congruent,right
