block_id,condition,trial_index,task,task_transition,response_transition,congruency,target_coh_level,target_dir
cp_taskswitch,B,0,or,First,First,incongruent,hard,left
cp_taskswitch,B,1,mov,Switch,Repeat,congruent,easy,left
cp_taskswitch,B,2,mov,Repeat,Switch,congruent,easy,right
cp_taskswitch,B,3,or,Switch,Repeat,incongruent,hard,right
cp_taskswitch,B,4,or,Repeat,Repeat,incongruent,hard,right
cp_taskswitch,B,5,or,Repeat,Switch,congruent,hard,left
cp_taskswitch,B,6,or,Repeat,Repeat,congruent,hard,left
cp_taskswitch,B,7,mov,Switch,Repeat,congruent,easy,left
cp_taskswitch,B,8,or,Switch,Switch,incongruent,easy,right
cp_taskswitch,B,9,mov,Switch,Repeat,congruent,hard,right
cp_taskswitch,B,10,mov,Repeat,Repeat,incongruent,easy,right
cp_taskswitch,B,11,mov,Repeat,Switch,incongruent,easy,left
cp_taskswitch,B,12,or,Switch,Repeat,incongruent,hard,left
cp_taskswitch,B,13,mov,Switch,Switch,incongruent,easy,right
cp_taskswitch,B,14,or,Switch,Switch,incongruent,easy,left
cp_taskswitch,B,15,or,Repeat,Switch,congruent,easy,right
cp_taskswitch,B,16,or,Repeat,Repeat,incongruent,easy,right
cp_taskswitch,B,17,mov,Switch,Switch,congruent,hard,left
cp_taskswitch,B,18,or,Switch,Repeat,incongruent,hard,left
cp_taskswitch,B,19,or,Repeat,Repeat,congruent,easy,left
cp_taskswitch,B,20,mov,Switch,Repeat,incongruent,easy,left
cp_taskswitch,B,21,mov,Repeat,Switch,congruent,hard,right
cp_taskswitch,B,22,mov,Repeat,Switch,incongruent,hard,left
cp_taskswitch,B,23,mov,Repeat,Repeat,incongruent,easy,left
cp_taskswitch,B,24,or,Switch,Switch,incongruent,hard,right
cp_taskswitch,B,25,mov,Switch,Switch,congruent,hard,left
cp_taskswitch,B,26,mov,Repeat,Repeat,incongruent,hard,left
cp_taskswitch,B,27,mov,Repeat,Repeat,incongruent,hard,left
cp_taskswitch,B,28,mov,Repeat,Switch,congruent,easy,right
cp_taskswitch,B,29,or,Switch,Repeat,congruent,hard,right
cp_taskswitch,B,30,mov,Switch,Switch,congruent,hard,left
cp_taskswitch,B,31,or,Switch,Repeat,incongruent,easy,left
cp_taskswitch,B,32,or,Repeat,Switch,incongruent,easy,right
cp_taskswitch,B,33,mov,Switch,Repeat,congruent,easy,right
cp_taskswitch,B,34,or,Switch,Repeat,congruent,easy,right
cp_taskswitch,B,35,or,Repeat,Repeat,congruent,easy,right
cp_taskswitch,B,36,or,Repeat,Switch,incongruent,easy,left
cp_taskswitch,B,37,or,Repeat,Switch,congruent,hard,right
cp_taskswitch,B,38,mov,Switch,Repeat,incongruent,easy,right
cp_taskswitch,B,39,mov,Repeat,Switch,incongruent,hard,left
cp_taskswitch,B,40,mov,Repeat,Repeat,incongruent,easy,left
cp_taskswitch,B,41,or,Switch,Repeat,congruent,hard,left
cp_taskswitch,B,42,mov,Switch,Switch,incongruent,hard,right
cp_taskswitch,B,43,or,Switch,Repeat,incongruent,hard,right
cp_taskswitch,B,44,or,Repeat,Switch,congruent,hard,left
cp_taskswitch,B,45,or,Repeat,Repeat,incongruent,hard,left
cp_taskswitch,B,46,mov,Switch,Switch,congruent,hard,right
cp_taskswitch,B,47,mov,Repeat,Switch,incongruent,hard,left
cp_taskswitch,B,48,mov,Repeat,Repeat,congruent,easy,left
cp_taskswitch,B,49,mov,Repeat,Switch,incongruent,easy,right
cp_taskswitch,B,50,or,Switch,Switch,congruent,easy,left
cp_taskswitch,B,51,or,Repeat,Repeat,congruent,easy,left
cp_taskswitch,B,52,or,Repeat,Repeat,incongruent,easy,left
cp_taskswitch,B,53,mov,Switch,Switch,congruent,easy,right
cp_taskswitch,B,54,or,Switch,Switch,congruent,hard,left
cp_taskswitch,B,55,mov,Switch,Switch,congruent,hard,right
cp_taskswitch,B,56,mov,Repeat,Repeat,congruent,hard,right
cp_taskswitch,B,57,or,Switch,Switch,incongruent,hard,left
cp_taskswitch,B,58,mov,Switch,Switch,incongruent,hard,right
cp_taskswitch,B,59,or,Switch,Repeat,incongruent,hard,right
cp_taskswitch,B,60,or,Repeat,Switch,congruent,easy,left
cp_taskswitch,B,61,mov,Switch,Repeat,incongruent,easy,left
cp_taskswitch,B,62,mov,Repeat,Repeat,incongruent,hard,left
cp_taskswitch,B,63,or,Switch,Switch,congruent,easy,right
cp_taskswitch,B,64,or,Repeat,Switch,incongruent,easy,left
cp_taskswitch,B,65,mov,Switch,Repeat,congruent,easy,left
cp_taskswitch,B,66,mov,Repeat,Switch,congruent,easy,right
cp_taskswitch,B,67,mov,Repeat,Switch,incongruent,easy,left
cp_taskswitch,B,68,mov,Repeat,Repeat,incongruent,hard,left
cp_taskswitch,B,69,or,Switch,Switch,incongruent,hard,right
cp_taskswitch,B,70,or,Repeat,Repeat,congruent,hard,right
cp_taskswitch,B,71,or,Repeat,Switch,incongruent,hard,left
cp_taskswitch,B,72,or,Repeat,Repeat,congruent,hard,left
cp_taskswitch,B,73,mov,Switch,Repeat,congruent,hard,left
cp_taskswitch,B,74,mov,Repeat,Switch,congruent,hard,right
cp_taskswitch,B,75,or,Switch,Repeat,incongruent,hard,right
cp_taskswitch,B,76,or,Repeat,Repeat,congruent,hard,right
cp_taskswitch,B,77,mov,Switch,Switch,incongruent,easy,left
cp_taskswitch,B,78,or,Switch,Switch,incongruent,easy,right
cp_taskswitch,B,79,or,Repeat,Switch,congruent,easy,left
cp_taskswitch,B,80,or,Repeat,Repeat,congruent,easy,left
cp_taskswitch,B,81,mov,Switch,Repeat,congruent,easy,left
cp_taskswitch,B,82,or,Switch,Switch,congruent,easy,right
cp_taskswitch,B,83,or,Repeat,Repeat,congruent,easy,right
cp_taskswitch,B,84,mov,Switch,Switch,congruent,easy,left
cp_taskswitch,B,85,mov,Repeat,Switch,congruent,hard,right
cp_taskswitch,B,86,or,Switch,Repeat,incongruent,easy,right
cp_taskswitch,B,87,or,Repeat,Switch,incongruent,hard,left
cp_taskswitch,B,88,mov,Switch,Repeat,congruent,hard,left
cp_taskswitch,B,89,mov,Repeat,Repeat,incongruent,easy,left
cp_taskswitch,B,90,or,Switch,Repeat,incongruent,easy,left
cp_taskswitch,B,91,mov,Switch,Switch,congruent,easy,right
cp_taskswitch,B,92,mov,Repeat,Repeat,congruent,hard,right
cp_taskswitch,B,93,or,Switch,Repeat,congruent,hard,right
cp_taskswitch,B,94,mov,Switch,Switch,incongruent,hard,left
cp_taskswitch,B,95,mov,Repeat,Switch,incongruent,hard,right
