block_id,condition,sequence_id,trial_index,task,congruency,target_dir,response_transition
cp_stroop,A,6,0,mov,incongruent,left,First
cp_stroop,A,6,1,mov,congruent,left,Repeat
cp_stroop,A,6,2,mov,incongruent,right,Switch
cp_stroop,A,6,3,mov,incongruent,left,Switch
cp_stroop,A,6,4,mov,incongruent,left,Repeat
cp_stroop,A,6,5,mov,congruent,left,Repeat
cp_stroop,A,6,6,mov,congruent,left,Repeat
cp_stroop,A,6,7,mov,congruent,right,Switch
cp_stroop,A,6,8,mov,congruent,right,Repeat
cp_stroop,A,6,9,mov,congruent,left,Switch
cp_stroop,A,6,10,mov,congruent,left,Repeat
cp_stroop,A,6,11,mov,congruent,right,Switch
cp_stroop,A,6,12,mov,congruent,right,Repeat
cp_stroop,A,6,13,mov,incongruent,right,Repeat
cp_stroop,A,6,14,mov,congruent,left,Switch
cp_stroop,A,6,15,mov,congruent,right,Switch
cp_stroop,A,6,16,mov,incongruent,right,Repeat
cp_stroop,A,6,17,mov,incongruent,left,Switch
cp_stroop,A,6,18,mov,congruent,left,Repeat
cp_stroop,A,6,19,mov,congruent,left,Repeat
cp_stroop,A,6,20,mov,congruent,left,Repeat
cp_stroop,A,6,21,mov,congruent,right,Switch
cp_stroop,A,6,22,mov,congruent,right,Repeat
cp_stroop,A,6,23,mov,congruent,right,Repeat
cp_stroop,A,6,24,mov,congruent,left,Switch
cp_stroop,A,6,25,mov,incongruent,right,Switch
cp_stroop,A,6,26,mov,incongruent,right,Repeat
cp_stroop,A,6,27,mov,incongruent,right,Repeat
cp_stroop,A,6,28,mov,incongruent,right,Repeat
cp_stroop,A,6,29,mov,incongruent,left,Switch
cp_stroop,A,6,30,mov,incongruent,right,Switch
cp_stroop,A,6,31,mov,congruent,right,Repeat
cp_stroop,A,6,32,mov,congruent,left,Switch
cp_stroop,A,6,33,mov,congruent,right,Switch
cp_stroop,A,6,34,mov,congruent,right,Repeat
cp_stroop,A,6,35,mov,congruent,right,Repeat
cp_stroop,A,6,36,mov,incongruent,left,Switch
cp_stroop,A,6,37,mov,incongruent,right,Switch
cp_stroop,A,6,38,mov,incongruent,left,Switch
cp_stroop,A,6,39,mov,incongruent,left,Repeat
cp_stroop,A,6,40,mov,congruent,left,Repeat
cp_stroop,A,6,41,mov,incongruent,left,Repeat
cp_stroop,A,6,42,mov,incongruent,right,Switch
cp_stroop,A,6,43,mov,incongruent,right,Repeat
cp_stroop,A,6,44,mov,congruent,left,Switch
cp_stroop,A,6,45,mov,congruent,left,Repeat
cp_stroop,A,6,46,mov,incongruent,right,Switch
cp_stroop,A,6,47,mov,incongruent,left,Switch
cp_stroop,A,6,48,mov,congruent,right,Switch
cp_stroop,A,6,49,mov,congruent,right,Repeat
cp_stroop,A,6,50,mov,incongruent,left,Switch
cp_stroop,A,6,51,mov,congruent,left,Repeat
cp_stroop,A,6,52,mov,congruent,left,Repeat
cp_stroop,A,6,53,mov,incongruent,right,Switch
cp_stroop,A,6,54,mov,incongruent,right,Repeat
cp_stroop,A,6,55,mov,congruent,right,Repeat
cp_stroop,A,6,56,mov,incongruent,left,Switch
cp_stroop,A,6,57,mov,incongruent,left,Repeat
cp_stroop,A,6,58,mov,incongruent,left,Repeat
cp_stroop,A,6,59,mov,congruent,right,Switch
cp_stroop,A,6,60,mov,congruent,right,Repeat
cp_stroop,A,6,61,mov,incongruent,left,Switch
cp_stroop,A,6,62,mov,incongruent,right,Switch
cp_stroop,A,6,63,mov,congruent,right,Repeat
cp_stroop,A,6,64,mov,incongruent,left,Switch
cp_stroop,A,6,65,mov,congruent,right,Switch
cp_stroop,A,6,66,mov,congruent,left,Switch
cp_stroop,A,6,67,mov,incongruent,left,Repeat
cp_stroop,A,6,68,mov,congruent,left,Repeat
cp_stroop,A,6,69,mov,incongruent,right,Switch
cp_stroop,A,6,70,mov,incongruent,left,Switch
cp_stroop,A,6,71,mov,incongruent,left,Repeat
cp_stroop,A,6,72,mov,incongruent,left,Repeat
cp_stroop,A,6,73,mov,incongruent,right,Switch
cp_stroop,A,6,74,mov,incongruent,right,Repeat
cp_stroop,A,6,75,mov,congruent,left,Switch
cp_stroop,A,6,76,mov,congruent,right,Switch
cp_stroop,A,6,77,mov,congruent,right,Repeat
cp_stroop,A,6,78,mov,congruent,left,Switch
cp_stroop,A,6,79,mov,congruent,right,Switch
cp_stroop,A,6,80,mov,incongruent,right,Repeat
cp_stroop,A,6,81,mov,congruent,left,Switch
cp_stroop,A,6,82,mov,congruent,left,Repeat
cp_stroop,A,6,83,mov,congruent,left,Repeat
cp_stroop,A,6,84,mov,incongruent,left,Repeat
cp_stroop,A,6,85,mov,incongruent,right,Switch
cp_stroop,A,6,86,mov,incongruent,left,Switch
cp_stroop,A,6,87,mov,incongruent,left,Repeat
cp_stroop,A,6,88,mov,incongruent,right,Switch
cp_stroop,A,6,89,mov,incongruent,right,Repeat
cp_stroop,A,6,90,mov,congruent,left,Switch
cp_stroop,A,6,91,mov,incongruent,left,Repeat
cp_stroop,A,6,92,mov,incongruent,right,Switch
cp_stroop,A,6,93,mov,incongruent,right,Repeat
cp_stroop,A,6,94,mov,congruent,right,Repeat
cp_stroop,A,6,95,mov,congruent,right,Repeat
