block_id,condition,sequence_id,trial_index,task,soa_level,congruency,target_dir
cp_prp,B,10,0,or,600,incongruent,left
cp_prp,B,10,1,or,300,congruent,left
cp_prp,B,10,2,or,600,congruent,right
cp_prp,B,10,3,or,300,incongruent,left
cp_prp,B,10,4,or,300,congruent,right
cp_prp,B,10,5,or,300,incongruent,right
cp_prp,B,10,6,or,100,incongruent,left
cp_prp,B,10,7,or,100,incongruent,right
cp_prp,B,10,8,or,100,incongruent,right
cp_prp,B,10,9,or,300,incongruent,right
cp_prp,B,10,10,or,300,incongruent,left
cp_prp,B,10,11,or,600,congruent,right
cp_prp,B,10,12,or,100,congruent,left
cp_prp,B,10,13,or,600,incongruent,right
cp_prp,B,10,14,or,300,incongruent,left
cp_prp,B,10,15,or,300,incongruent,left
cp_prp,B,10,16,or,100,incongruent,right
cp_prp,B,10,17,or,100,incongruent,left
cp_prp,B,10,18,or,100,incongruent,left
cp_prp,B,10,19,or,600,congruent,left
cp_prp,B,10,20,or,300,congruent,right
cp_prp,B,10,21,or,300,incongruent,right
cp_prp,B,10,22,or,300,congruent,left
cp_prp,B,10,23,or,600,incongruent,right
cp_prp,B,10,24,or,600,congruent,left
cp_prp,B,10,25,or,100,congruent,right
cp_prp,B,10,26,or,600,congruent,left
cp_prp,B,10,27,or,600,congruent,right
cp_prp,B,10,28,or,100,congruent,left
cp_prp,B,10,29,or,100,congruent,right
cp_prp,B,10,30,or,100,incongruent,right
cp_prp,B,10,31,or,300,incongruent,right
cp_prp,B,10,32,or,300,congruent,right
cp_prp,B,10,33,or,600,congruent,right
cp_prp,B,10,34,or,600,congruent,left
cp_prp,B,10,35,or,300,congruent,right
cp_prp,B,10,36,or,600,incongruent,left
cp_prp,B,10,37,or,100,congruent,left
cp_prp,B,10,38,or,300,incongruent,left
cp_prp,B,10,39,or,600,incongruent,right
cp_prp,B,10,40,or,600,incongruent,left
cp_prp,B,10,41,or,100,incongruent,left
cp_prp,B,10,42,or,300,congruent,left
cp_prp,B,10,43,or,600,incongruent,right
cp_prp,B,10,44,or,600,incongruent,right
cp_prp,B,10,45,or,100,congruent,left
cp_prp,B,10,46,or,100,incongruent,right
cp_prp,B,10,47,or,600,congruent,right
cp_prp,B,10,48,or,300,congruent,left
cp_prp,B,10,49,or,300,congruent,left
cp_prp,B,10,50,or,600,incongruent,left
cp_prp,B,10,51,or,300,incongruent,left
cp_prp,B,10,52,or,300,incongruent,right
cp_prp,B,10,53,or,100,congruent,right
cp_prp,B,10,54,or,600,incongruent,left
cp_prp,B,10,55,or,600,incongruent,right
cp_prp,B,10,56,or,300,incongruent,left
cp_prp,B,10,57,or,300,incongruent,left
cp_prp,B,10,58,or,100,congruent,right
cp_prp,B,10,59,or,300,congruent,right
cp_prp,B,10,60,or,100,incongruent,left
cp_prp,B,10,61,or,100,congruent,right
cp_prp,B,10,62,or,600,incongruent,left
cp_prp,B,10,63,or,100,congruent,left
cp_prp,B,10,64,or,600,incongruent,left
cp_prp,B,10,65,or,100,congruent,right
cp_prp,B,10,66,or,600,congruent,right
cp_prp,B,10,67,or,300,congruent,right
cp_prp,B,10,68,or,100,congruent,left
cp_prp,B,10,69,or,300,incongruent,right
cp_prp,B,10,70,or,300,congruent,right
cp_prp,B,10,71,or,600,congruent,left
cp_prp,B,10,72,or,300,congruent,left
cp_prp,B,10,73,or,100,incongruent,left
cp_prp,B,10,74,or,100,congruent,right
cp_prp,B,10,75,or,600,congruent,right
cp_prp,B,10,76,or,100,incongruent,right
cp_prp,B,10,77,or,100,incongruent,left
cp_prp,B,10,78,or,600,incongruent,right
cp_prp,B,10,79,or,100,congruent,left
cp_prp,B,10,80,or,100,incongruent,right
cp_prp,B,10,81,or,600,incongruent,right
cp_prp,B,10,82,or,100,incongruent,left
cp_prp,B,10,83,or,600,congruent,left
cp_prp,B,10,84,or,300,incongruent,right
cp_prp,B,10,85,or,300,incongruent,right
cp_prp,B,10,86,or,300,congruent,left
cp_prp,B,10,87,or,100,incongruent,right
cp_prp,B,10,88,or,600,congruent,left
cp_prp,B,10,89,or,300,congruent,left
cp_prp,B,10,90,or,300,congruent,right
cp_prp,B,10,91,or,600,congruent,right
cp_prp,B,10,92,or,100,congruent,left
cp_prp,B,10,93,or,100,congruent,right
cp_prp,B,10,94,or,600,incongruent,left
cp_prp,B,10,95,or,600,congruent,left
