block_id,condition,sequence_id,trial_index,task,soa_level,congruency,target_dir
cp_prp,B,21,0,or,300,incongruent,right
cp_prp,B,21,1,or,300,congruent,right
cp_prp,B,21,2,or,600,congruent,left
cp_prp,B,21,3,or,600,incongruent,left
cp_prp,B,21,4,or,600,congruent,right
cp_prp,B,21,5,or,100,congruent,right
cp_prp,B,21,6,or,600,congruent,right
cp_prp,B,21,7,or,300,incongruent,right
cp_prp,B,21,8,or,100,incongruent,left
cp_prp,B,21,9,or,300,congruent,right
cp_prp,B,21,10,or,300,congruent,left
cp_prp,B,21,11,or,300,congruent,right
cp_prp,B,21,12,or,100,congruent,left
cp_prp,B,21,13,or,100,congruent,left
cp_prp,B,21,14,or,600,incongruent,left
cp_prp,B,21,15,or,100,incongruent,left
cp_prp,B,21,16,or,600,incongruent,left
cp_prp,B,21,17,or,100,congruent,left
cp_prp,B,21,18,or,300,congruent,left
cp_prp,B,21,19,or,100,incongruent,right
cp_prp,B,21,20,or,600,congruent,right
cp_prp,B,21,21,or,100,congruent,left
cp_prp,B,21,22,or,600,congruent,left
cp_prp,B,21,23,or,100,congruent,right
cp_prp,B,21,24,or,100,incongruent,right
cp_prp,B,21,25,or,300,incongruent,right
cp_prp,B,21,26,or,300,incongruent,right
cp_prp,B,21,27,or,300,congruent,right
cp_prp,B,21,28,or,600,congruent,right
cp_prp,B,21,29,or,300,incongruent,right
cp_prp,B,21,30,or,300,congruent,right
cp_prp,B,21,31,or,100,incongruent,left
cp_prp,B,21,32,or,100,incongruent,left
cp_prp,B,21,33,or,100,congruent,left
cp_prp,B,21,34,or,600,incongruent,right
cp_prp,B,21,35,or,600,incongruent,right
cp_prp,B,21,36,or,100,incongruent,right
cp_prp,B,21,37,or,600,incongruent,right
cp_prp,B,21,38,or,600,congruent,right
cp_prp,B,21,39,or,300,incongruent,left
cp_prp,B,21,40,or,600,incongruent,right
cp_prp,B,21,41,or,100,congruent,right
cp_prp,B,21,42,or,300,congruent,left
cp_prp,B,21,43,or,300,congruent,right
cp_prp,B,21,44,or,600,incongruent,left
cp_prp,B,21,45,or,600,congruent,left
cp_prp,B,21,46,or,100,incongruent,right
cp_prp,B,21,47,or,600,incongruent,left
cp_prp,B,21,48,or,600,congruent,right
cp_prp,B,21,49,or,100,congruent,right
cp_prp,B,21,50,or,300,congruent,left
cp_prp,B,21,51,or,100,congruent,right
cp_prp,B,21,52,or,600,incongruent,right
cp_prp,B,21,53,or,300,incongruent,right
cp_prp,B,21,54,or,600,congruent,left
cp_prp,B,21,55,or,600,congruent,left
cp_prp,B,21,56,or,100,incongruent,right
cp_prp,B,21,57,or,100,congruent,right
cp_prp,B,21,58,or,300,incongruent,right
cp_prp,B,21,59,or,300,incongruent,left
cp_prp,B,21,60,or,600,incongruent,right
cp_prp,B,21,61,or,600,congruent,left
cp_prp,B,21,62,or,300,incongruent,left
cp_prp,B,21,63,or,100,incongruent,left
cp_prp,B,21,64,or,600,incongruent,left
cp_prp,B,21,65,or,100,congruent,left
cp_prp,B,21,66,or,600,incongruent,left
cp_prp,B,21,67,or,600,incongruent,left
cp_prp,B,21,68,or,100,incongruent,left
cp_prp,B,21,69,or,300,incongruent,right
cp_prp,B,21,70,or,300,congruent,left
cp_prp,B,21,71,or,100,incongruent,right
cp_prp,B,21,72,or,100,incongruent,right
cp_prp,B,21,73,or,300,congruent,right
cp_prp,B,21,74,or,300,congruent,left
cp_prp,B,21,75,or,300,congruent,right
cp_prp,B,21,76,or,300,incongruent,left
cp_prp,B,21,77,or,600,congruent,left
cp_prp,B,21,78,or,600,congruent,right
cp_prp,B,21,79,or,100,incongruent,left
cp_prp,B,21,80,or,300,incongruent,left
cp_prp,B,21,81,or,100,congruent,left
cp_prp,B,21,82,or,100,congruent,right
cp_prp,B,21,83,or,300,incongruent,left
cp_prp,B,21,84,or,600,congruent,right
cp_prp,B,21,85,or,100,incongruent,right
cp_prp,B,21,86,or,300,congruent,left
cp_prp,B,21,87,or,100,congruent,right
cp_prp,B,21,88,or,300,incongruent,left
cp_prp,B,21,89,or,300,incongruent,left
cp_prp,B,21,90,or,300,congruent,left
cp_prp,B,21,91,or,100,incongruent,left
cp_prp,B,21,92,or,600,incongruent,right
cp_prp,B,21,93,or,600,congruent,left
cp_prp,B,21,94,or,600,incongruent,right
cp_prp,B,21,95,or,100,congruent,left
