block_id,condition,sequence_id,trial_index,task,congruency,target_coh_level,distractor_coh_level,target_dir
cp_stroop_crossed,B,7,0,or,congruent,low,high,left
cp_stroop_crossed,B,7,1,or,congruent,mid,mid,left
cp_stroop_crossed,B,7,2,or,incongruent,high,mid,left
cp_stroop_crossed,B,7,3,or,incongruent,high,high,left
cp_stroop_crossed,B,7,4,or,incongruent,high,low,right
cp_stroop_crossed,B,7,5,or,incongruent,mid,mid,left
cp_stroop_crossed,B,7,6,or,incongruent,mid,low,left
cp_stroop_crossed,B,7,7,or,incongruent,mid,high,right
cp_stroop_crossed,B,7,8,or,incongruent,high,low,right
cp_stroop_crossed,B,7,9,or,congruent,mid,high,left
cp_stroop_crossed,B,7,10,or,incongruent,low,low,left
cp_stroop_crossed,B,7,11,or,incongruent,high,high,right
cp_stroop_crossed,B,7,12,or,incongruent,mid,mid,right
cp_stroop_crossed,B,7,13,or,congruent,mid,low,left
cp_stroop_crossed,B,7,14,or,incongruent,mid,mid,right
cp_stroop_crossed,B,7,15,or,congruent,low,low,right
cp_stroop_crossed,B,7,16,or,incongruent,high,mid,right
cp_stroop_crossed,B,7,17,or,incongruent,high,low,left
cp_stroop_crossed,B,7,18,or,congruent,mid,high,right
cp_stroop_crossed,B,7,19,or,incongruent,low,high,left
cp_stroop_crossed,B,7,20,or,incongruent,mid,low,right
cp_stroop_crossed,B,7,21,or,congruent,low,mid,right
cp_stroop_crossed,B,7,22,or,congruent,low,low,left
cp_stroop_crossed,B,7,23,or,congruent,low,mid,left
cp_stroop_crossed,B,7,24,or,congruent,high,high,left
cp_stroop_crossed,B,7,25,or,congruent,high,low,left
cp_stroop_crossed,B,7,26,or,congruent,high,low,right
cp_stroop_crossed,B,7,27,or,congruent,mid,high,left
cp_stroop_crossed,B,7,28,or,congruent,mid,low,right
cp_stroop_crossed,B,7,29,or,incongruent,mid,mid,left
cp_stroop_crossed,B,7,30,or,congruent,low,high,right
cp_stroop_crossed,B,7,31,or,congruent,high,low,left
cp_stroop_crossed,B,7,32,or,incongruent,low,low,right
cp_stroop_crossed,B,7,33,or,congruent,low,low,left
cp_stroop_crossed,B,7,34,or,incongruent,mid,mid,right
cp_stroop_crossed,B,7,35,or,incongruent,mid,high,right
cp_stroop_crossed,B,7,36,or,incongruent,mid,low,right
cp_stroop_crossed,B,7,37,or,congruent,mid,low,right
cp_stroop_crossed,B,7,38,or,incongruent,high,high,left
cp_stroop_crossed,B,7,39,or,congruent,low,high,left
cp_stroop_crossed,B,7,40,or,congruent,high,mid,right
cp_stroop_crossed,B,7,41,or,incongruent,mid,low,right
cp_stroop_crossed,B,7,42,or,congruent,mid,mid,right
cp_stroop_crossed,B,7,43,or,congruent,low,mid,left
cp_stroop_crossed,B,7,44,or,congruent,low,high,left
cp_stroop_crossed,B,7,45,or,incongruent,high,high,right
cp_stroop_crossed,B,7,46,or,congruent,high,high,right
cp_stroop_crossed,B,7,47,or,congruent,mid,low,left
cp_stroop_crossed,B,7,48,or,incongruent,high,mid,left
cp_stroop_crossed,B,7,49,or,incongruent,low,mid,right
cp_stroop_crossed,B,7,50,or,congruent,high,low,right
cp_stroop_crossed,B,7,51,or,incongruent,mid,high,left
cp_stroop_crossed,B,7,52,or,incongruent,low,low,left
cp_stroop_crossed,B,7,53,or,congruent,low,mid,right
cp_stroop_crossed,B,7,54,or,congruent,mid,mid,left
cp_stroop_crossed,B,7,55,or,incongruent,high,low,right
cp_stroop_crossed,B,7,56,or,incongruent,low,mid,left
cp_stroop_crossed,B,7,57,or,congruent,mid,high,right
cp_stroop_crossed,B,7,58,or,congruent,mid,mid,right
cp_stroop_crossed,B,7,59,or,incongruent,low,mid,right
cp_stroop_crossed,B,7,60,or,incongruent,high,low,left
cp_stroop_crossed,B,7,61,or,congruent,low,low,right
cp_stroop_crossed,B,7,62,or,congruent,low,high,right
cp_stroop_crossed,B,7,63,or,incongruent,low,high,left
cp_stroop_crossed,B,7,64,or,congruent,low,mid,right
cp_stroop_crossed,B,7,65,or,congruent,mid,mid,left
cp_stroop_crossed,B,7,66,or,incongruent,low,high,right
cp_stroop_crossed,B,7,67,or,incongruent,mid,low,left
cp_stroop_crossed,B,7,68,or,incongruent,low,mid,left
cp_stroop_crossed,B,7,69,or,congruent,high,mid,left
cp_stroop_crossed,B,7,70,or,congruent,mid,high,right
cp_stroop_crossed,B,7,71,or,incongruent,high,mid,right
cp_stroop_crossed,B,7,72,or,incongruent,low,mid,left
cp_stroop_crossed,B,7,73,or,congruent,mid,high,left
cp_stroop_crossed,B,7,74,or,incongruent,high,low,left
cp_stroop_crossed,B,7,75,or,congruent,low,mid,left
cp_stroop_crossed,B,7,76,or,congruent,mid,low,left
cp_stroop_crossed,B,7,77,or,incongruent,mid,high,left
cp_stroop_crossed,B,7,78,or,incongruent,low,high,right
cp_stroop_crossed,B,7,79,or,incongruent,high,high,right
cp_stroop_crossed,B,7,80,or,congruent,high,high,right
cp_stroop_crossed,B,7,81,or,incongruent,low,high,right
cp_stroop_crossed,B,7,82,or,incongruent,mid,high,right
