block_id,condition,sequence_id,trial_index,task,congruency,target_dir,response_transition
cp_stroop,B,22,0,or,incongruent,left,First
cp_stroop,B,22,1,or,congruent,left,Repeat
cp_stroop,B,22,2,or,incongruent,left,Repeat
cp_stroop,B,22,3,or,incongruent,left,Repeat
cp_stroop,B,22,4,or,congruent,right,Switch
cp_stroop,B,22,5,or,congruent,right,Repeat
cp_stroop,B,22,6,or,congruent,left,Switch
cp_stroop,B,22,7,or,congruent,right,Switch
cp_stroop,B,22,8,or,congruent,right,Repeat
cp_stroop,B,22,9,or,congruent,right,Repeat
cp_stroop,B,22,10,or,incongruent,right,Repeat
cp_stroop,B,22,11,or,incongruent,left,Switch
cp_stroop,B,22,12,or,incongruent,right,Switch
cp_stroop,B,22,13,or,incongruent,right,Repeat
cp_stroop,B,22,14,or,congruent,left,Switch
cp_stroop,B,22,15,or,congruent,right,Switch
cp_stroop,B,22,16,or,incongruent,left,Switch
cp_stroop,B,22,17,or,congruent,left,Repeat
cp_stroop,B,22,18,or,congruent,right,Switch
cp_stroop,B,22,19,or,incongruent,left,Switch
cp_stroop,B,22,20,or,congruent,right,Switch
cp_stroop,B,22,21,or,congruent,right,Repeat
cp_stroop,B,22,22,or,incongruent,left,Switch
cp_stroop,B,22,23,or,congruent,right,Switch
cp_stroop,B,22,24,or,congruent,right,Repeat
cp_stroop,B,22,25,or,incongruent,right,Repeat
cp_stroop,B,22,26,or,incongruent,right,Repeat
cp_stroop,B,22,27,or,congruent,left,Switch
cp_stroop,B,22,28,or,incongruent,left,Repeat
cp_stroop,B,22,29,or,congruent,left,Repeat
cp_stroop,B,22,30,or,congruent,right,Switch
cp_stroop,B,22,31,or,incongruent,right,Repeat
cp_stroop,B,22,32,or,incongruent,left,Switch
cp_stroop,B,22,33,or,congruent,right,Switch
cp_stroop,B,22,34,or,incongruent,left,Switch
cp_stroop,B,22,35,or,congruent,left,Repeat
cp_stroop,B,22,36,or,incongruent,right,Switch
cp_stroop,B,22,37,or,congruent,left,Switch
cp_stroop,B,22,38,or,congruent,left,Repeat
cp_stroop,B,22,39,or,congruent,left,Repeat
cp_stroop,B,22,40,or,incongruent,right,Switch
cp_stroop,B,22,41,or,congruent,left,Switch
cp_stroop,B,22,42,or,incongruent,right,Switch
cp_stroop,B,22,43,or,incongruent,right,Repeat
cp_stroop,B,22,44,or,incongruent,left,Switch
cp_stroop,B,22,45,or,congruent,left,Repeat
cp_stroop,B,22,46,or,incongruent,right,Switch
cp_stroop,B,22,47,or,congruent,left,Switch
cp_stroop,B,22,48,or,incongruent,right,Switch
cp_stroop,B,22,49,or,incongruent,right,Repeat
cp_stroop,B,22,50,or,congruent,right,Repeat
cp_stroop,B,22,51,or,congruent,left,Switch
cp_stroop,B,22,52,or,incongruent,left,Repeat
cp_stroop,B,22,53,or,congruent,right,Switch
cp_stroop,B,22,54,or,incongruent,left,Switch
cp_stroop,B,22,55,or,incongruent,left,Repeat
cp_stroop,B,22,56,or,congruent,left,Repeat
cp_stroop,B,22,57,or,incongruent,left,Repeat
cp_stroop,B,22,58,or,congruent,right,Switch
cp_stroop,B,22,59,or,incongruent,left,Switch
cp_stroop,B,22,60,or,incongruent,left,Repeat
cp_stroop,B,22,61,or,congruent,left,Repeat
cp_stroop,B,22,62,or,incongruent,left,Repeat
cp_stroop,B,22,63,or,incongruent,right,Switch
cp_stroop,B,22,64,or,incongruent,right,Repeat
cp_stroop,B,22,65,or,incongruent,right,Repeat
cp_stroop,B,22,66,or,incongruent,right,Repeat
cp_stroop,B,22,67,or,congruent,left,Switch
cp_stroop,B,22,68,or,congruent,right,Switch
cp_stroop,B,22,69,or,congruent,right,Repeat
cp_stroop,B,22,70,or,incongruent,left,Switch
cp_stroop,B,22,71,or,incongruent,right,Switch
cp_stroop,B,22,72,or,congruent,right,Repeat
cp_stroop,B,22,73,or,congruent,left,Switch
cp_stroop,B,22,74,or,congruent,left,Repeat
cp_stroop,B,22,75,or,congruent,right,Switch
cp_stroop,B,22,76,or,congruent,left,Switch
cp_stroop,B,22,77,or,congruent,right,Switch
cp_stroop,B,22,78,or,incongruent,right,Repeat
cp_stroop,B,22,79,or,incongruent,right,Repeat
cp_stroop,B,22,80,or,congruent,left,Switch
cp_stroop,B,22,81,or,incongruent,right,Switch
cp_stroop,B,22,82,or,congruent,right,Repeat
cp_stroop,B,22,83,or,congruent,right,Repeat
cp_stroop,B,22,84,or,incongruent,right,Repeat
cp_stroop,B,22,85,or,congruent,left,Switch
cp_stroop,B,22,86,or,incongruent,left,Repeat
cp_stroop,B,22,87,or,incongruent,left,Repeat
cp_stroop,B,22,88,or,incongruent,left,Repeat
cp_stroop,B,22,89,or,incongruent,right,Switch
cp_stroop,B,22,90,or,incongruent,right,Repeat
cp_stroop,B,22,91,or,congruent,right,Repeat
cp_stroop,B,22,92,or,incongruent,left,Switch
cp_stroop,B,22,93,or,congruent,left,Repeat
cp_stroop,B,22,94,or,incongruent,left,Repeat
cp_stroop,B,22,95,or,congruent,left,Repeat
