block_id,condition,sequence_id,trial_index,task,congruency,target_dir,response_transition
cp_stroop,B,7,0,or,incongruent,left,First
cp_stroop,B,7,1,or,incongruent,right,Switch
cp_stroop,B,7,2,or,congruent,right,Repeat
cp_stroop,B,7,3,or,incongruent,left,Switch
cp_stroop,B,7,4,or,incongruent,right,Switch
cp_stroop,B,7,5,or,congruent,left,Switch
cp_stroop,B,7,6,or,congruent,left,Repeat
cp_stroop,B,7,7,or,incongruent,right,Switch
cp_stroop,B,7,8,or,congruent,left,Switch
cp_stroop,B,7,9,or,incongruent,left,Repeat
cp_stroop,B,7,10,or,congruent,right,Switch
cp_stroop,B,7,11,or,congruent,right,Repeat
cp_stroop,B,7,12,or,incongruent,right,Repeat
cp_stroop,B,7,13,or,incongruent,right,Repeat
cp_stroop,B,7,14,or,congruent,left,Switch
cp_stroop,B,7,15,or,congruent,right,Switch
cp_stroop,B,7,16,or,congruent,right,Repeat
cp_stroop,B,7,17,or,incongruent,right,Repeat
cp_stroop,B,7,18,or,incongruent,right,Repeat
cp_stroop,B,7,19,or,congruent,left,Switch
cp_stroop,B,7,20,or,congruent,left,Repeat
cp_stroop,B,7,21,or,incongruent,left,Repeat
cp_stroop,B,7,22,or,congruent,left,Repeat
cp_stroop,B,7,23,or,congruent,right,Switch
cp_stroop,B,7,24,or,congruent,left,Switch
cp_stroop,B,7,25,or,congruent,right,Switch
cp_stroop,B,7,26,or,incongruent,right,Repeat
cp_stroop,B,7,27,or,incongruent,right,Repeat
cp_stroop,B,7,28,or,incongruent,left,Switch
cp_stroop,B,7,29,or,incongruent,left,Repeat
cp_stroop,B,7,30,or,congruent,right,Switch
cp_stroop,B,7,31,or,incongruent,left,Switch
cp_stroop,B,7,32,or,incongruent,right,Switch
cp_stroop,B,7,33,or,congruent,right,Repeat
cp_stroop,B,7,34,or,congruent,left,Switch
cp_stroop,B,7,35,or,congruent,right,Switch
cp_stroop,B,7,36,or,congruent,left,Switch
cp_stroop,B,7,37,or,incongruent,left,Repeat
cp_stroop,B,7,38,or,congruent,left,Repeat
cp_stroop,B,7,39,or,incongruent,left,Repeat
cp_stroop,B,7,40,or,incongruent,right,Switch
cp_stroop,B,7,41,or,incongruent,left,Switch
cp_stroop,B,7,42,or,congruent,left,Repeat
cp_stroop,B,7,43,or,congruent,right,Switch
cp_stroop,B,7,44,or,incongruent,right,Repeat
cp_stroop,B,7,45,or,incongruent,right,Repeat
cp_stroop,B,7,46,or,congruent,right,Repeat
cp_stroop,B,7,47,or,incongruent,left,Switch
cp_stroop,B,7,48,or,congruent,right,Switch
cp_stroop,B,7,49,or,incongruent,left,Switch
cp_stroop,B,7,50,or,incongruent,left,Repeat
cp_stroop,B,7,51,or,incongruent,left,Repeat
cp_stroop,B,7,52,or,congruent,right,Switch
cp_stroop,B,7,53,or,congruent,left,Switch
cp_stroop,B,7,54,or,congruent,right,Switch
cp_stroop,B,7,55,or,congruent,right,Repeat
cp_stroop,B,7,56,or,congruent,left,Switch
cp_stroop,B,7,57,or,incongruent,left,Repeat
cp_stroop,B,7,58,or,incongruent,right,Switch
cp_stroop,B,7,59,or,incongruent,left,Switch
cp_stroop,B,7,60,or,congruent,right,Switch
cp_stroop,B,7,61,or,congruent,right,Repeat
cp_stroop,B,7,62,or,incongruent,right,Repeat
cp_stroop,B,7,63,or,incongruent,left,Switch
cp_stroop,B,7,64,or,incongruent,right,Switch
cp_stroop,B,7,65,or,congruent,left,Switch
cp_stroop,B,7,66,or,congruent,left,Repeat
cp_stroop,B,7,67,or,congruent,left,Repeat
cp_stroop,B,7,68,or,congruent,right,Switch
cp_stroop,B,7,69,or,incongruent,right,Repeat
cp_stroop,B,7,70,or,congruent,left,Switch
cp_stroop,B,7,71,or,congruent,left,Repeat
cp_stroop,B,7,72,or,congruent,right,Switch
cp_stroop,B,7,73,or,congruent,right,Repeat
cp_stroop,B,7,74,or,incongruent,right,Repeat
cp_stroop,B,7,75,or,incongruent,left,Switch
cp_stroop,B,7,76,or,congruent,left,Repeat
cp_stroop,B,7,77,or,congruent,right,Switch
cp_stroop,B,7,78,or,congruent,left,Switch
cp_stroop,B,7,79,or,congruent,left,Repeat
cp_stroop,B,7,80,or,incongruent,right,Switch
cp_stroop,B,7,81,or,congruent,left,Switch
cp_stroop,B,7,82,or,congruent,right,Switch
cp_stroop,B,7,83,or,incongruent,right,Repeat
cp_stroop,B,7,84,or,incongruent,left,Switch
cp_stroop,B,7,85,or,incongruent,right,Switch
cp_stroop,B,7,86,or,congruent,right,Repeat
cp_stroop,B,7,87,or,incongruent,right,Repeat
cp_stroop,B,7,88,or,congruent,left,Switch
cp_stroop,B,7,89,or,incongruent,left,Repeat
cp_stroop,B,7,90,or,incongruent,right,Switch
cp_stroop,B,7,91,or,incongruent,left,Switch
cp_stroop,B,7,92,or,incongruent,left,Repeat
cp_stroop,B,7,93,or,incongruent,left,Repeat
cp_stroop,B,7,94,or,incongruent,right,Switch
cp_stroop,B,7,95,or,incongruent,left,Switch
