block_id,condition,sequence_id,trial_index,task,congruency,target_dir,response_transition
cp_stroop,A,42,0,mov,incongruent,right,First
cp_stroop,A,42,1,mov,congruent,right,Repeat
cp_stroop,A,42,2,mov,incongruent,right,Repeat
cp_stroop,A,42,3,mov,incongruent,left,Switch
cp_stroop,A,42,4,mov,congruent,left,Repeat
cp_stroop,A,42,5,mov,congruent,left,Repeat
cp_stroop,A,42,6,mov,congruent,left,Repeat
cp_stroop,A,42,7,mov,incongruent,right,Switch
cp_stroop,A,42,8,mov,congruent,left,Switch
cp_stroop,A,42,9,mov,congruent,left,Repeat
cp_stroop,A,42,10,mov,incongruent,left,Repeat
cp_stroop,A,42,11,mov,incongruent,right,Switch
cp_stroop,A,42,12,mov,congruent,right,Repeat
cp_stroop,A,42,13,mov,congruent,right,Repeat
cp_stroop,A,42,14,mov,incongruent,left,Switch
cp_stroop,A,42,15,mov,incongruent,left,Repeat
cp_stroop,A,42,16,mov,incongruent,left,Repeat
cp_stroop,A,42,17,mov,congruent,right,Switch
cp_stroop,A,42,18,mov,incongruent,left,Switch
cp_stroop,A,42,19,mov,incongruent,left,Repeat
cp_stroop,A,42,20,mov,congruent,left,Repeat
cp_stroop,A,42,21,mov,congruent,left,Repeat
cp_stroop,A,42,22,mov,congruent,right,Switch
cp_stroop,A,42,23,mov,congruent,left,Switch
cp_stroop,A,42,24,mov,incongruent,right,Switch
cp_stroop,A,42,25,mov,congruent,right,Repeat
cp_stroop,A,42,26,mov,incongruent,right,Repeat
cp_stroop,A,42,27,mov,congruent,right,Repeat
cp_stroop,A,42,28,mov,incongruent,left,Switch
cp_stroop,A,42,29,mov,congruent,left,Repeat
cp_stroop,A,42,30,mov,congruent,left,Repeat
cp_stroop,A,42,31,mov,congruent,left,Repeat
cp_stroop,A,42,32,mov,incongruent,right,Switch
cp_stroop,A,42,33,mov,congruent,right,Repeat
cp_stroop,A,42,34,mov,incongruent,left,Switch
cp_stroop,A,42,35,mov,incongruent,left,Repeat
cp_stroop,A,42,36,mov,congruent,right,Switch
cp_stroop,A,42,37,mov,congruent,left,Switch
cp_stroop,A,42,38,mov,incongruent,left,Repeat
cp_stroop,A,42,39,mov,incongruent,left,Repeat
cp_stroop,A,42,40,mov,incongruent,right,Switch
cp_stroop,A,42,41,mov,congruent,left,Switch
cp_stroop,A,42,42,mov,incongruent,right,Switch
cp_stroop,A,42,43,mov,congruent,right,Repeat
cp_stroop,A,42,44,mov,congruent,right,Repeat
cp_stroop,A,42,45,mov,congruent,left,Switch
cp_stroop,A,42,46,mov,incongruent,right,Switch
cp_stroop,A,42,47,mov,congruent,right,Repeat
cp_stroop,A,42,48,mov,incongruent,right,Repeat
cp_stroop,A,42,49,mov,congruent,left,Switch
cp_stroop,A,42,50,mov,incongruent,left,Repeat
cp_stroop,A,42,51,mov,incongruent,left,Repeat
cp_stroop,A,42,52,mov,congruent,right,Switch
cp_stroop,A,42,53,mov,incongruent,right,Repeat
cp_stroop,A,42,54,mov,incongruent,left,Switch
cp_stroop,A,42,55,mov,congruent,left,Repeat
cp_stroop,A,42,56,mov,congruent,right,Switch
cp_stroop,A,42,57,mov,congruent,right,Repeat
cp_stroop,A,42,58,mov,incongruent,right,Repeat
cp_stroop,A,42,59,mov,incongruent,left,Switch
cp_stroop,A,42,60,mov,incongruent,left,Repeat
cp_stroop,A,42,61,mov,incongruent,right,Switch
cp_stroop,A,42,62,mov,congruent,left,Switch
cp_stroop,A,42,63,mov,congruent,left,Repeat
cp_stroop,A,42,64,mov,incongruent,left,Repeat
cp_stroop,A,42,65,mov,congruent,right,Switch
cp_stroop,A,42,66,mov,incongruent,right,Repeat
cp_stroop,A,42,67,mov,incongruent,left,Switch
cp_stroop,A,42,68,mov,congruent,right,Switch
cp_stroop,A,42,69,mov,incongruent,right,Repeat
cp_stroop,A,42,70,mov,congruent,left,Switch
cp_stroop,A,42,71,mov,incongruent,right,Switch
cp_stroop,A,42,72,mov,incongruent,right,Repeat
cp_stroop,A,42,73,mov,congruent,left,Switch
cp_stroop,A,42,74,mov,incongruent,right,Switch
cp_stroop,A,42,75,mov,congruent,right,Repeat
cp_stroop,A,42,76,mov,congruent,right,Repeat
cp_stroop,A,42,77,mov,congruent,right,Repeat
cp_stroop,A,42,78,mov,incongruent,left,Switch
cp_stroop,A,42,79,mov,congruent,right,Switch
cp_stroop,A,42,80,mov,incongruent,right,Repeat
cp_stroop,A,42,81,mov,congruent,left,Switch
cp_stroop,A,42,82,mov,incongruent,left,Repeat
cp_stroop,A,42,83,mov,incongruent,left,Repeat
cp_stroop,A,42,84,mov,congruent,right,Switch
cp_stroop,A,42,85,mov,incongruent,right,Repeat
cp_stroop,A,42,86,mov,incongruent,right,Repeat
cp_stroop,A,42,87,mov,congruent,right,Repeat
cp_stroop,A,42,88,mov,congruent,left,Switch
cp_stroop,A,42,89,mov,congruent,left,Repeat
cp_stroop,A,42,90,mov,incongruent,left,Repeat
cp_stroop,A,42,91,mov,incongruent,left,Repeat
cp_stroop,A,42,92,mov,congruent,right,Switch
cp_stroop,A,42,93,mov,congruent,left,Switch
cp_stroop,A,42,94,mov,incongruent,right,Switch
cp_stroop,A,42,95,mov,incongruent,right,Repeat
