block_id,condition,sequence_id,trial_index,task,congruency,target_coh_level,distractor_coh_level,target_dir
cp_stroop_crossed,A,17,0,mov,incongruent,high,mid,left
cp_stroop_crossed,A,17,1,mov,congruent,mid,high,right
cp_stroop_crossed,A,17,2,mov,incongruent,low,high,right
cp_stroop_crossed,A,17,3,mov,congruent,low,high,left
cp_stroop_crossed,A,17,4,mov,incongruent,high,mid,right
cp_stroop_crossed,A,17,5,mov,congruent,high,mid,right
cp_stroop_crossed,A,17,6,mov,incongruent,low,low,left
cp_stroop_crossed,A,17,7,mov,incongruent,low,high,left
cp_stroop_crossed,A,17,8,mov,congruent,mid,low,left
cp_stroop_crossed,A,17,9,mov,congruent,high,high,left
cp_stroop_crossed,A,17,10,mov,congruent,mid,mid,right
cp_stroop_crossed,A,17,11,mov,incongruent,high,mid,left
cp_stroop_crossed,A,17,12,mov,congruent,high,mid,left
cp_stroop_crossed,A,17,13,mov,congruent,mid,low,right
cp_stroop_crossed,A,17,14,mov,congruent,mid,high,left
cp_stroop_crossed,A,17,15,mov,incongruent,low,mid,left
cp_stroop_crossed,A,17,16,mov,incongruent,low,mid,left
cp_stroop_crossed,A,17,17,mov,incongruent,high,high,left
cp_stroop_crossed,A,17,18,mov,congruent,low,high,right
cp_stroop_crossed,A,17,19,mov,incongruent,low,mid,right
cp_stroop_crossed,A,17,20,mov,congruent,mid,high,right
cp_stroop_crossed,A,17,21,mov,congruent,low,mid,right
cp_stroop_crossed,A,17,22,mov,incongruent,high,high,right
cp_stroop_crossed,A,17,23,mov,congruent,high,high,right
cp_stroop_crossed,A,17,24,mov,congruent,low,high,left
cp_stroop_crossed,A,17,25,mov,incongruent,mid,mid,left
cp_stroop_crossed,A,17,26,mov,congruent,high,mid,right
cp_stroop_crossed,A,17,27,mov,congruent,high,high,right
cp_stroop_crossed,A,17,28,mov,congruent,high,low,left
cp_stroop_crossed,A,17,29,mov,congruent,low,mid,right
cp_stroop_crossed,A,17,30,mov,incongruent,low,low,left
cp_stroop_crossed,A,17,31,mov,incongruent,low,low,right
cp_stroop_crossed,A,17,32,mov,congruent,mid,low,right
cp_stroop_crossed,A,17,33,mov,incongruent,low,high,left
cp_stroop_crossed,A,17,34,mov,congruent,low,low,left
