block_id,condition,sequence_id,trial_index,task,hand,soa_level,congruency,prev_cross_congruency,target_dir
cp_prp,B,50,0,or,right,600,incongruent,First,left
cp_prp,B,50,1,or,right,300,congruent,Incongruent,right
cp_prp,B,50,2,or,right,600,congruent,Congruent,left
cp_prp,B,50,3,or,right,600,incongruent,Congruent,left
cp_prp,B,50,4,or,right,300,incongruent,Incongruent,right
cp_prp,B,50,5,or,right,300,congruent,Incongruent,left
cp_prp,B,50,6,or,right,300,congruent,Congruent,right
cp_prp,B,50,7,or,right,300,incongruent,Congruent,right
cp_prp,B,50,8,or,right,600,congruent,Incongruent,right
cp_prp,B,50,9,or,right,100,incongruent,Congruent,right
cp_prp,B,50,10,or,right,600,incongruent,Incongruent,right
cp_prp,B,50,11,or,right,100,congruent,Incongruent,right
cp_prp,B,50,12,or,right,600,incongruent,Congruent,left
cp_prp,B,50,13,or,right,600,incongruent,Incongruent,right
cp_prp,B,50,14,or,right,100,congruent,Incongruent,left
cp_prp,B,50,15,or,right,100,congruent,Congruent,right
cp_prp,B,50,16,or,right,600,incongruent,Congruent,right
cp_prp,B,50,17,or,right,300,congruent,Incongruent,right
cp_prp,B,50,18,or,right,100,incongruent,Congruent,left
cp_prp,B,50,19,or,right,600,congruent,Incongruent,left
cp_prp,B,50,20,or,right,600,incongruent,Congruent,left
cp_prp,B,50,21,or,right,100,congruent,Incongruent,right
cp_prp,B,50,22,or,right,300,congruent,Congruent,left
cp_prp,B,50,23,or,right,600,incongruent,Congruent,right
cp_prp,B,50,24,or,right,100,incongruent,Incongruent,left
cp_prp,B,50,25,or,right,300,incongruent,Incongruent,left
cp_prp,B,50,26,or,right,300,incongruent,Incongruent,left
cp_prp,B,50,27,or,right,100,incongruent,Incongruent,right
cp_prp,B,50,28,or,right,600,congruent,Incongruent,right
cp_prp,B,50,29,or,right,300,incongruent,Congruent,right
cp_prp,B,50,30,or,right,100,incongruent,Incongruent,right
cp_prp,B,50,31,or,right,300,incongruent,Incongruent,right
cp_prp,B,50,32,or,right,600,incongruent,Incongruent,left
cp_prp,B,50,33,or,right,300,congruent,Incongruent,right
cp_prp,B,50,34,or,right,100,incongruent,Congruent,left
cp_prp,B,50,35,or,right,600,congruent,Incongruent,right
cp_prp,B,50,36,or,right,600,incongruent,Congruent,right
cp_prp,B,50,37,or,right,300,congruent,Incongruent,left
cp_prp,B,50,38,or,right,300,incongruent,Congruent,right
cp_prp,B,50,39,or,right,100,incongruent,Incongruent,right
cp_prp,B,50,40,or,right,100,incongruent,Incongruent,left
cp_prp,B,50,41,or,right,600,congruent,Incongruent,left
cp_prp,B,50,42,or,right,100,congruent,Congruent,left
cp_prp,B,50,43,or,right,300,incongruent,Congruent,right
cp_prp,B,50,44,or,right,300,congruent,Incongruent,left
cp_prp,B,50,45,or,right,600,congruent,Congruent,left
cp_prp,B,50,46,or,right,600,congruent,Congruent,right
cp_prp,B,50,47,or,right,300,incongruent,Congruent,left
cp_prp,B,50,48,or,right,600,incongruent,Incongruent,left
cp_prp,B,50,49,or,right,100,congruent,Incongruent,left
cp_prp,B,50,50,or,right,300,congruent,Congruent,left
cp_prp,B,50,51,or,right,600,congruent,Congruent,left
cp_prp,B,50,52,or,right,300,congruent,Congruent,right
cp_prp,B,50,53,or,right,100,incongruent,Congruent,right
cp_prp,B,50,54,or,right,100,congruent,Incongruent,right
cp_prp,B,50,55,or,right,100,congruent,Congruent,right
cp_prp,B,50,56,or,right,100,congruent,Congruent,left
cp_prp,B,50,57,or,right,300,congruent,Congruent,right
cp_prp,B,50,58,or,right,100,incongruent,Congruent,left
cp_prp,B,50,59,or,right,600,congruent,Incongruent,left
cp_prp,B,50,60,or,right,100,incongruent,Congruent,right
cp_prp,B,50,61,or,right,600,incongruent,Incongruent,right
cp_prp,B,50,62,or,right,600,incongruent,Incongruent,right
cp_prp,B,50,63,or,right,300,incongruent,Incongruent,right
cp_prp,B,50,64,or,right,600,incongruent,Incongruent,left
cp_prp,B,50,65,or,right,300,congruent,Incongruent,right
cp_prp,B,50,66,or,right,100,incongruent,Congruent,left
cp_prp,B,50,67,or,right,600,congruent,Incongruent,left
cp_prp,B,50,68,or,right,600,congruent,Congruent,right
cp_prp,B,50,69,or,right,100,congruent,Congruent,right
cp_prp,B,50,70,or,right,300,congruent,Congruent,right
cp_prp,B,50,71,or,right,300,incongruent,Congruent,left
cp_prp,B,50,72,or,right,100,incongruent,Incongruent,left
