block_id,condition,sequence_id,trial_index,task,hand,congruency,prev_congruency,target_dir,response_transition
cp_stroop,A,34,0,mov,right,congruent,First,left,First
cp_stroop,A,34,1,mov,right,congruent,Congruent,right,Switch
cp_stroop,A,34,2,mov,right,incongruent,Congruent,right,Repeat
cp_stroop,A,34,3,mov,left,incongruent,Incongruent,left,Switch
cp_stroop,A,34,4,mov,right,incongruent,Incongruent,left,Repeat
cp_stroop,A,34,5,mov,right,incongruent,Incongruent,right,Switch
cp_stroop,A,34,6,mov,left,congruent,Incongruent,left,Switch
cp_stroop,A,34,7,mov,left,congruent,Congruent,right,Switch
cp_stroop,A,34,8,mov,right,incongruent,Congruent,right,Repeat
cp_stroop,A,34,9,mov,right,congruent,Incongruent,right,Repeat
cp_stroop,A,34,10,mov,left,incongruent,Congruent,right,Repeat
cp_stroop,A,34,11,mov,right,incongruent,Incongruent,left,Switch
cp_stroop,A,34,12,mov,right,incongruent,Incongruent,left,Repeat
cp_stroop,A,34,13,mov,left,congruent,Incongruent,right,Switch
cp_stroop,A,34,14,mov,left,congruent,Congruent,right,Repeat
cp_stroop,A,34,15,mov,right,incongruent,Congruent,right,Repeat
cp_stroop,A,34,16,mov,right,incongruent,Incongruent,left,Switch
cp_stroop,A,34,17,mov,left,incongruent,Incongruent,right,Switch
cp_stroop,A,34,18,mov,left,incongruent,Incongruent,right,Repeat
cp_stroop,A,34,19,mov,left,incongruent,Incongruent,left,Switch
cp_stroop,A,34,20,mov,right,congruent,Incongruent,left,Repeat
cp_stroop,A,34,21,mov,left,incongruent,Congruent,left,Repeat
cp_stroop,A,34,22,mov,left,congruent,Incongruent,right,Switch
cp_stroop,A,34,23,mov,right,congruent,Congruent,right,Repeat
cp_stroop,A,34,24,mov,right,congruent,Congruent,right,Repeat
cp_stroop,A,34,25,mov,left,congruent,Congruent,left,Switch
cp_stroop,A,34,26,mov,right,incongruent,Congruent,left,Repeat
cp_stroop,A,34,27,mov,left,congruent,Incongruent,right,Switch
cp_stroop,A,34,28,mov,right,congruent,Congruent,right,Repeat
cp_stroop,A,34,29,mov,left,incongruent,Congruent,left,Switch
cp_stroop,A,34,30,mov,left,incongruent,Incongruent,right,Switch
cp_stroop,A,34,31,mov,left,incongruent,Incongruent,right,Repeat
cp_stroop,A,34,32,mov,right,incongruent,Incongruent,right,Repeat
cp_stroop,A,34,33,mov,left,congruent,Incongruent,left,Switch
cp_stroop,A,34,34,mov,left,congruent,Congruent,left,Repeat
cp_stroop,A,34,35,mov,left,incongruent,Congruent,right,Switch
