block_id,condition,sequence_id,trial_index,task,hand,congruency,prev_congruency,target_dir,response_transition
cp_stroop,A,47,0,mov,right,incongruent,First,left,First
cp_stroop,A,47,1,mov,right,congruent,Incongruent,right,Switch
cp_stroop,A,47,2,mov,right,congruent,Congruent,right,Repeat
cp_stroop,A,47,3,mov,left,congruent,Congruent,left,Switch
cp_stroop,A,47,4,mov,left,incongruent,Congruent,left,Repeat
cp_stroop,A,47,5,mov,right,congruent,Incongruent,left,Repeat
cp_stroop,A,47,6,mov,left,congruent,Congruent,right,Switch
cp_stroop,A,47,7,mov,right,congruent,Congruent,left,Switch
cp_stroop,A,47,8,mov,left,congruent,Congruent,left,Repeat
cp_stroop,A,47,9,mov,right,incongruent,Congruent,left,Repeat
cp_stroop,A,47,10,mov,left,congruent,Incongruent,right,Switch
cp_stroop,A,47,11,mov,right,congruent,Congruent,right,Repeat
cp_stroop,A,47,12,mov,left,congruent,Congruent,left,Switch
cp_stroop,A,47,13,mov,left,incongruent,Congruent,right,Switch
cp_stroop,A,47,14,mov,right,incongruent,Incongruent,left,Switch
cp_stroop,A,47,15,mov,left,incongruent,Incongruent,left,Repeat
cp_stroop,A,47,16,mov,right,incongruent,Incongruent,right,Switch
cp_stroop,A,47,17,mov,right,congruent,Incongruent,left,Switch
cp_stroop,A,47,18,mov,right,incongruent,Congruent,right,Switch
cp_stroop,A,47,19,mov,left,incongruent,Incongruent,right,Repeat
cp_stroop,A,47,20,mov,left,congruent,Incongruent,right,Repeat
cp_stroop,A,47,21,mov,right,congruent,Congruent,right,Repeat
cp_stroop,A,47,22,mov,left,congruent,Congruent,left,Switch
cp_stroop,A,47,23,mov,right,congruent,Congruent,left,Repeat
cp_stroop,A,47,24,mov,right,incongruent,Congruent,right,Switch
cp_stroop,A,47,25,mov,left,incongruent,Incongruent,left,Switch
cp_stroop,A,47,26,mov,right,congruent,Incongruent,right,Switch
cp_stroop,A,47,27,mov,left,incongruent,Congruent,right,Repeat
cp_stroop,A,47,28,mov,right,incongruent,Incongruent,left,Switch
cp_stroop,A,47,29,mov,left,congruent,Incongruent,left,Repeat
cp_stroop,A,47,30,mov,left,congruent,Congruent,left,Repeat
cp_stroop,A,47,31,mov,right,incongruent,Congruent,right,Switch
