block_id,condition,sequence_id,trial_index,task,hand,task_transition,hand_transition,response_transition,congruency,target_coh_level,target_dir
cp_taskswitch,A,30,0,or,left,First,First,First,congruent,easy,right
cp_taskswitch,A,30,1,or,left,Repeat,Repeat,Switch,incongruent,hard,left
cp_taskswitch,A,30,2,mov,right,Switch,Switch,Repeat,congruent,easy,left
cp_taskswitch,A,30,3,mov,right,Repeat,Repeat,Switch,congruent,easy,right
cp_taskswitch,A,30,4,or,left,Switch,Switch,Switch,congruent,easy,left
cp_taskswitch,A,30,5,or,left,Repeat,Repeat,Switch,congruent,hard,right
cp_taskswitch,A,30,6,or,right,Repeat,Switch,Switch,congruent,hard,left
cp_taskswitch,A,30,7,mov,right,Switch,Repeat,Repeat,incongruent,hard,left
cp_taskswitch,A,30,8,mov,right,Repeat,Repeat,Repeat,congruent,hard,left
cp_taskswitch,A,30,9,or,left,Switch,Switch,Repeat,congruent,easy,left
cp_taskswitch,A,30,10,mov,left,Switch,Repeat,Switch,incongruent,hard,right
cp_taskswitch,A,30,11,mov,left,Repeat,Repeat,Repeat,incongruent,easy,right
cp_taskswitch,A,30,12,or,right,Switch,Switch,Repeat,incongruent,easy,right
cp_taskswitch,A,30,13,mov,right,Switch,Repeat,Repeat,incongruent,hard,right
cp_taskswitch,A,30,14,mov,left,Repeat,Switch,Switch,congruent,hard,left
cp_taskswitch,A,30,15,mov,right,Repeat,Switch,Switch,incongruent,easy,right
cp_taskswitch,A,30,16,or,right,Switch,Repeat,Repeat,congruent,easy,right
cp_taskswitch,A,30,17,or,right,Repeat,Repeat,Repeat,incongruent,easy,right
cp_taskswitch,A,30,18,mov,left,Switch,Switch,Repeat,congruent,hard,right
cp_taskswitch,A,30,19,mov,left,Repeat,Repeat,Repeat,congruent,easy,right
cp_taskswitch,A,30,20,or,right,Switch,Switch,Repeat,incongruent,hard,right
cp_taskswitch,A,30,21,or,right,Repeat,Repeat,Switch,incongruent,hard,left
cp_taskswitch,A,30,22,or,right,Repeat,Repeat,Repeat,congruent,hard,left
cp_taskswitch,A,30,23,mov,left,Switch,Switch,Switch,congruent,easy,right
cp_taskswitch,A,30,24,or,left,Switch,Repeat,Repeat,incongruent,hard,right
cp_taskswitch,A,30,25,mov,right,Switch,Switch,Switch,incongruent,hard,left
cp_taskswitch,A,30,26,mov,right,Repeat,Repeat,Switch,congruent,easy,right
cp_taskswitch,A,30,27,or,left,Switch,Switch,Repeat,congruent,easy,right
cp_taskswitch,A,30,28,or,right,Repeat,Switch,Repeat,incongruent,hard,right
cp_taskswitch,A,30,29,mov,right,Switch,Repeat,Repeat,congruent,hard,right
cp_taskswitch,A,30,30,mov,left,Repeat,Switch,Switch,incongruent,easy,left
cp_taskswitch,A,30,31,or,right,Switch,Switch,Switch,incongruent,hard,right
cp_taskswitch,A,30,32,mov,right,Switch,Repeat,Switch,congruent,hard,left
cp_taskswitch,A,30,33,mov,left,Repeat,Switch,Repeat,congruent,easy,left
cp_taskswitch,A,30,34,or,left,Switch,Repeat,Switch,congruent,easy,right
cp_taskswitch,A,30,35,or,left,Repeat,Repeat,Repeat,incongruent,hard,right
cp_taskswitch,A,30,36,mov,right,Switch,Switch,Switch,congruent,hard,left
cp_taskswitch,A,30,37,mov,right,Repeat,Repeat,Switch,congruent,easy,right
cp_taskswitch,A,30,38,mov,left,Repeat,Switch,Switch,congruent,hard,left
cp_taskswitch,A,30,39,or,left,Switch,Repeat,Repeat,incongruent,easy,left
cp_taskswitch,A,30,40,or,right,Repeat,Switch,Repeat,incongruent,hard,left
cp_taskswitch,A,30,41,or,left,Repeat,Switch,Repeat,congruent,hard,left
cp_taskswitch,A,30,42,mov,left,Switch,Repeat,Repeat,congruent,easy,left
cp_taskswitch,A,30,43,or,right,Switch,Switch,Repeat,congruent,hard,left
cp_taskswitch,A,30,44,or,left,Repeat,Switch,Repeat,incongruent,easy,left
cp_taskswitch,A,30,45,mov,left,Switch,Repeat,Switch,incongruent,hard,right
cp_taskswitch,A,30,46,or,left,Switch,Repeat,Repeat,incongruent,easy,right
cp_taskswitch,A,30,47,mov,right,Switch,Switch,Repeat,incongruent,easy,right
cp_taskswitch,A,30,48,mov,right,Repeat,Repeat,Switch,congruent,hard,left
cp_taskswitch,A,30,49,mov,left,Repeat,Switch,Repeat,incongruent,hard,left
cp_taskswitch,A,30,50,or,left,Switch,Repeat,Switch,congruent,easy,right
cp_taskswitch,A,30,51,mov,left,Switch,Repeat,Repeat,incongruent,easy,right
cp_taskswitch,A,30,52,mov,right,Repeat,Switch,Switch,incongruent,easy,left
cp_taskswitch,A,30,53,mov,left,Repeat,Switch,Switch,incongruent,hard,right
cp_taskswitch,A,30,54,or,right,Switch,Switch,Repeat,incongruent,easy,right
cp_taskswitch,A,30,55,or,right,Repeat,Repeat,Repeat,congruent,hard,right
cp_taskswitch,A,30,56,or,right,Repeat,Repeat,Repeat,congruent,easy,right
cp_taskswitch,A,30,57,mov,left,Switch,Switch,Switch,incongruent,easy,left
