block_id,condition,sequence_id,trial_index,task,hand,soa_level,congruency,prev_cross_congruency,target_dir
cp_prp,A,23,0,mov,left,600,incongruent,First,right
cp_prp,A,23,1,mov,left,100,incongruent,Incongruent,left
cp_prp,A,23,2,mov,left,100,congruent,Incongruent,right
cp_prp,A,23,3,mov,left,100,incongruent,Congruent,right
cp_prp,A,23,4,mov,left,300,congruent,Incongruent,left
cp_prp,A,23,5,mov,left,100,congruent,Congruent,left
cp_prp,A,23,6,mov,left,100,congruent,Congruent,right
cp_prp,A,23,7,mov,left,600,congruent,Congruent,left
cp_prp,A,23,8,mov,left,300,congruent,Congruent,left
cp_prp,A,23,9,mov,left,100,incongruent,Congruent,left
cp_prp,A,23,10,mov,left,100,incongruent,Incongruent,left
cp_prp,A,23,11,mov,left,300,congruent,Incongruent,right
cp_prp,A,23,12,mov,left,600,incongruent,Congruent,left
cp_prp,A,23,13,mov,left,600,congruent,Incongruent,right
cp_prp,A,23,14,mov,left,600,incongruent,Congruent,right
cp_prp,A,23,15,mov,left,300,congruent,Incongruent,right
cp_prp,A,23,16,mov,left,300,incongruent,Congruent,right
cp_prp,A,23,17,mov,left,300,incongruent,Incongruent,left
cp_prp,A,23,18,mov,left,600,incongruent,Incongruent,right
cp_prp,A,23,19,mov,left,600,congruent,Incongruent,left
cp_prp,A,23,20,mov,left,100,congruent,Congruent,left
cp_prp,A,23,21,mov,left,100,incongruent,Congruent,left
cp_prp,A,23,22,mov,left,600,incongruent,Incongruent,right
cp_prp,A,23,23,mov,left,300,incongruent,Incongruent,right
cp_prp,A,23,24,mov,left,600,incongruent,Incongruent,left
cp_prp,A,23,25,mov,left,300,congruent,Incongruent,left
cp_prp,A,23,26,mov,left,600,congruent,Congruent,left
cp_prp,A,23,27,mov,left,600,congruent,Congruent,right
cp_prp,A,23,28,mov,left,100,incongruent,Congruent,left
cp_prp,A,23,29,mov,left,100,congruent,Incongruent,left
cp_prp,A,23,30,mov,left,600,incongruent,Congruent,right
cp_prp,A,23,31,mov,left,600,incongruent,Incongruent,right
cp_prp,A,23,32,mov,left,600,incongruent,Incongruent,left
cp_prp,A,23,33,mov,left,300,incongruent,Incongruent,left
cp_prp,A,23,34,mov,left,100,congruent,Incongruent,right
cp_prp,A,23,35,mov,left,100,incongruent,Congruent,right
cp_prp,A,23,36,mov,left,600,congruent,Incongruent,left
cp_prp,A,23,37,mov,left,600,congruent,Congruent,right
cp_prp,A,23,38,mov,left,100,congruent,Congruent,right
cp_prp,A,23,39,mov,left,100,incongruent,Congruent,right
cp_prp,A,23,40,mov,left,300,incongruent,Incongruent,right
cp_prp,A,23,41,mov,left,100,congruent,Incongruent,right
cp_prp,A,23,42,mov,left,300,incongruent,Congruent,left
cp_prp,A,23,43,mov,left,100,congruent,Incongruent,left
cp_prp,A,23,44,mov,left,100,incongruent,Congruent,left
cp_prp,A,23,45,mov,left,600,congruent,Incongruent,right
cp_prp,A,23,46,mov,left,600,congruent,Congruent,right
cp_prp,A,23,47,mov,left,300,congruent,Congruent,left
cp_prp,A,23,48,mov,left,300,incongruent,Congruent,right
cp_prp,A,23,49,mov,left,300,incongruent,Incongruent,right
cp_prp,A,23,50,mov,left,300,congruent,Incongruent,left
cp_prp,A,23,51,mov,left,300,incongruent,Congruent,left
cp_prp,A,23,52,mov,left,600,congruent,Incongruent,left
cp_prp,A,23,53,mov,left,300,incongruent,Congruent,right
cp_prp,A,23,54,mov,left,600,incongruent,Incongruent,right
cp_prp,A,23,55,mov,left,300,congruent,Incongruent,right
cp_prp,A,23,56,mov,left,100,congruent,Congruent,left
cp_prp,A,23,57,mov,left,100,congruent,Congruent,left
cp_prp,A,23,58,mov,left,600,congruent,Congruent,left
cp_prp,A,23,59,mov,left,300,incongruent,Congruent,left
cp_prp,A,23,60,mov,left,100,incongruent,Incongruent,right
cp_prp,A,23,61,mov,left,100,congruent,Incongruent,left
cp_prp,A,23,62,mov,left,600,incongruent,Congruent,right
cp_prp,A,23,63,mov,left,100,incongruent,Incongruent,right
cp_prp,A,23,64,mov,left,600,incongruent,Incongruent,left
cp_prp,A,23,65,mov,left,300,congruent,Incongruent,right
cp_prp,A,23,66,mov,left,600,incongruent,Congruent,left
cp_prp,A,23,67,mov,left,100,congruent,Incongruent,right
cp_prp,A,23,68,mov,left,300,incongruent,Congruent,right
cp_prp,A,23,69,mov,left,600,congruent,Incongruent,right
cp_prp,A,23,70,mov,left,100,congruent,Congruent,right
cp_prp,A,23,71,mov,left,600,incongruent,Congruent,left
cp_prp,A,23,72,mov,left,100,congruent,Incongruent,left
cp_prp,A,23,73,mov,left,300,congruent,Congruent,right
cp_prp,A,23,74,mov,left,300,congruent,Congruent,right
cp_prp,A,23,75,mov,left,300,congruent,Congruent,left
cp_prp,A,23,76,mov,left,600,incongruent,Congruent,left
cp_prp,A,23,77,mov,left,600,congruent,Incongruent,right
cp_prp,A,23,78,mov,left,600,congruent,Congruent,right
cp_prp,A,23,79,mov,left,300,congruent,Congruent,left
cp_prp,A,23,80,mov,left,300,congruent,Congruent,right
cp_prp,A,23,81,mov,left,300,congruent,Congruent,right
cp_prp,A,23,82,mov,left,300,incongruent,Congruent,left
cp_prp,A,23,83,mov,left,300,incongruent,Incongruent,right
cp_prp,A,23,84,mov,left,100,incongruent,Incongruent,right
cp_prp,A,23,85,mov,left,600,congruent,Incongruent,left
cp_prp,A,23,86,mov,left,100,congruent,Congruent,right
cp_prp,A,23,87,mov,left,100,incongruent,Congruent,right
cp_prp,A,23,88,mov,left,600,incongruent,Incongruent,left
cp_prp,A,23,89,mov,left,300,incongruent,Incongruent,left
cp_prp,A,23,90,mov,left,100,incongruent,Incongruent,left
cp_prp,A,23,91,mov,left,100,incongruent,Incongruent,left
cp_prp,A,23,92,mov,left,300,congruent,Incongruent,left
cp_prp,A,23,93,mov,left,600,congruent,Congruent,left
cp_prp,A,23,94,mov,left,600,incongruent,Congruent,right
cp_prp,A,23,95,mov,left,100,incongruent,Incongruent,right
