block_id,condition,sequence_id,trial_index,task,hand,congruency,prev_congruency,target_dir,response_transition
cp_stroop,A,8,0,mov,left,congruent,First,right,First
cp_stroop,A,8,1,mov,left,incongruent,Congruent,left,Switch
cp_stroop,A,8,2,mov,right,incongruent,Incongruent,right,Switch
cp_stroop,A,8,3,mov,left,incongruent,Incongruent,right,Repeat
cp_stroop,A,8,4,mov,left,congruent,Incongruent,right,Repeat
cp_stroop,A,8,5,mov,right,congruent,Congruent,left,Switch
cp_stroop,A,8,6,mov,left,congruent,Congruent,left,Repeat
cp_stroop,A,8,7,mov,left,incongruent,Congruent,left,Repeat
cp_stroop,A,8,8,mov,right,congruent,Incongruent,right,Switch
cp_stroop,A,8,9,mov,right,congruent,Congruent,left,Switch
cp_stroop,A,8,10,mov,left,congruent,Congruent,left,Repeat
cp_stroop,A,8,11,mov,left,congruent,Congruent,left,Repeat
cp_stroop,A,8,12,mov,left,congruent,Congruent,right,Switch
cp_stroop,A,8,13,mov,right,incongruent,Congruent,left,Switch
cp_stroop,A,8,14,mov,left,congruent,Incongruent,left,Repeat
cp_stroop,A,8,15,mov,left,incongruent,Congruent,left,Repeat
cp_stroop,A,8,16,mov,right,congruent,Incongruent,right,Switch
cp_stroop,A,8,17,mov,left,incongruent,Congruent,left,Switch
cp_stroop,A,8,18,mov,left,incongruent,Incongruent,left,Repeat
cp_stroop,A,8,19,mov,left,incongruent,Incongruent,right,Switch
cp_stroop,A,8,20,mov,right,congruent,Incongruent,right,Repeat
cp_stroop,A,8,21,mov,right,congruent,Congruent,left,Switch
cp_stroop,A,8,22,mov,left,congruent,Congruent,right,Switch
cp_stroop,A,8,23,mov,left,incongruent,Congruent,right,Repeat
cp_stroop,A,8,24,mov,right,incongruent,Incongruent,left,Switch
cp_stroop,A,8,25,mov,right,incongruent,Incongruent,left,Repeat
cp_stroop,A,8,26,mov,left,congruent,Incongruent,right,Switch
cp_stroop,A,8,27,mov,right,incongruent,Congruent,left,Switch
cp_stroop,A,8,28,mov,right,congruent,Incongruent,left,Repeat
cp_stroop,A,8,29,mov,left,congruent,Congruent,right,Switch
cp_stroop,A,8,30,mov,right,congruent,Congruent,right,Repeat
cp_stroop,A,8,31,mov,right,incongruent,Congruent,right,Repeat
cp_stroop,A,8,32,mov,right,incongruent,Incongruent,right,Repeat
cp_stroop,A,8,33,mov,left,incongruent,Incongruent,left,Switch
cp_stroop,A,8,34,mov,right,incongruent,Incongruent,right,Switch
cp_stroop,A,8,35,mov,left,congruent,Incongruent,right,Repeat
cp_stroop,A,8,36,mov,right,congruent,Congruent,right,Repeat
cp_stroop,A,8,37,mov,right,congruent,Congruent,right,Repeat
cp_stroop,A,8,38,mov,right,incongruent,Congruent,left,Switch
cp_stroop,A,8,39,mov,left,congruent,Incongruent,right,Switch
cp_stroop,A,8,40,mov,right,congruent,Congruent,right,Repeat
cp_stroop,A,8,41,mov,right,congruent,Congruent,left,Switch
cp_stroop,A,8,42,mov,left,incongruent,Congruent,left,Repeat
cp_stroop,A,8,43,mov,right,incongruent,Incongruent,right,Switch
cp_stroop,A,8,44,mov,right,incongruent,Incongruent,left,Switch
cp_stroop,A,8,45,mov,right,incongruent,Incongruent,left,Repeat
cp_stroop,A,8,46,mov,left,congruent,Incongruent,right,Switch
cp_stroop,A,8,47,mov,left,incongruent,Congruent,right,Repeat
cp_stroop,A,8,48,mov,left,congruent,Incongruent,right,Repeat
cp_stroop,A,8,49,mov,right,incongruent,Congruent,left,Switch
cp_stroop,A,8,50,mov,right,congruent,Incongruent,right,Switch
cp_stroop,A,8,51,mov,right,congruent,Congruent,right,Repeat
cp_stroop,A,8,52,mov,left,incongruent,Congruent,left,Switch
cp_stroop,A,8,53,mov,right,incongruent,Incongruent,left,Repeat
cp_stroop,A,8,54,mov,right,incongruent,Incongruent,left,Repeat
cp_stroop,A,8,55,mov,left,incongruent,Incongruent,right,Switch
cp_stroop,A,8,56,mov,right,incongruent,Incongruent,right,Repeat
cp_stroop,A,8,57,mov,right,congruent,Incongruent,right,Repeat
cp_stroop,A,8,58,mov,left,incongruent,Congruent,right,Repeat
cp_stroop,A,8,59,mov,right,incongruent,Incongruent,left,Switch
cp_stroop,A,8,60,mov,right,incongruent,Incongruent,right,Switch
cp_stroop,A,8,61,mov,right,incongruent,Incongruent,left,Switch
cp_stroop,A,8,62,mov,left,congruent,Incongruent,left,Repeat
cp_stroop,A,8,63,mov,left,incongruent,Congruent,left,Repeat
cp_stroop,A,8,64,mov,right,congruent,Incongruent,right,Switch
cp_stroop,A,8,65,mov,left,congruent,Congruent,left,Switch
cp_stroop,A,8,66,mov,left,incongruent,Congruent,right,Switch
cp_stroop,A,8,67,mov,right,incongruent,Incongruent,right,Repeat
cp_stroop,A,8,68,mov,left,congruent,Incongruent,right,Repeat
cp_stroop,A,8,69,mov,right,congruent,Congruent,right,Repeat
cp_stroop,A,8,70,mov,left,incongruent,Congruent,left,Switch
cp_stroop,A,8,71,mov,left,congruent,Incongruent,right,Switch
cp_stroop,A,8,72,mov,left,incongruent,Congruent,right,Repeat
cp_stroop,A,8,73,mov,right,congruent,Incongruent,left,Switch
cp_stroop,A,8,74,mov,right,congruent,Congruent,left,Repeat
cp_stroop,A,8,75,mov,right,congruent,Congruent,left,Repeat
cp_stroop,A,8,76,mov,left,congruent,Congruent,right,Switch
cp_stroop,A,8,77,mov,right,incongruent,Congruent,left,Switch
cp_stroop,A,8,78,mov,left,congruent,Incongruent,left,Repeat
cp_stroop,A,8,79,mov,left,incongruent,Congruent,left,Repeat
cp_stroop,A,8,80,mov,left,congruent,Incongruent,left,Repeat
cp_stroop,A,8,81,mov,right,incongruent,Congruent,right,Switch
cp_stroop,A,8,82,mov,left,incongruent,Incongruent,right,Repeat
cp_stroop,A,8,83,mov,right,incongruent,Incongruent,left,Switch
cp_stroop,A,8,84,mov,left,incongruent,Incongruent,left,Repeat
cp_stroop,A,8,85,mov,left,incongruent,Incongruent,left,Repeat
cp_stroop,A,8,86,mov,right,congruent,Incongruent,right,Switch
cp_stroop,A,8,87,mov,right,congruent,Congruent,left,Switch
cp_stroop,A,8,88,mov,right,incongruent,Congruent,right,Switch
cp_stroop,A,8,89,mov,left,congruent,Incongruent,right,Repeat
cp_stroop,A,8,90,mov,left,congruent,Congruent,left,Switch
cp_stroop,A,8,91,mov,left,congruent,Congruent,right,Switch
cp_stroop,A,8,92,mov,right,incongruent,Congruent,right,Repeat
cp_stroop,A,8,93,mov,right,congruent,Incongruent,left,Switch
cp_stroop,A,8,94,mov,left,congruent,Congruent,left,Repeat
cp_stroop,A,8,95,mov,left,incongruent,Congruent,left,Repeat
